time,id,mag,place,updated,status,sig,net,code,nst,dmin,rms,gap,magType,type,title,longitude,latitude,depth
2024-09-02 18:00:00,,,,2024-09-02 18:00:00,,,,,,,,,,,,,,
2024-09-02 18:01:00,,,,2024-09-02 18:01:00,,,,,,,,,,,,,,
2024-09-02 18:02:00,,,,2024-09-02 18:02:00,,,,,,,,,,,,,,
2024-09-02 18:03:00,,,,2024-09-02 18:03:00,,,,,,,,,,,,,,
2024-09-02 18:04:00,,,,2024-09-02 18:04:00,,,,,,,,,,,,,,
2024-09-02 18:05:00,,,,2024-09-02 18:05:00,,,,,,,,,,,,,,
2024-09-02 18:06:00,,,,2024-09-02 18:06:00,,,,,,,,,,,,,,
2024-09-02 18:07:00,,,,2024-09-02 18:07:00,,,,,,,,,,,,,,
2024-09-02 18:08:00,,,,2024-09-02 18:08:00,,,,,,,,,,,,,,
2024-09-02 18:09:00,,,,2024-09-02 18:09:00,,,,,,,,,,,,,,
2024-09-02 18:10:00,,,,2024-09-02 18:10:00,,,,,,,,,,,,,,
2024-09-02 18:11:00,,,,2024-09-02 18:11:00,,,,,,,,,,,,,,
2024-09-02 18:12:00,,,,2024-09-02 18:12:00,,,,,,,,,,,,,,
2024-09-02 18:13:00,,,,2024-09-02 18:13:00,,,,,,,,,,,,,,
2024-09-02 18:14:00,,,,2024-09-02 18:14:00,,,,,,,,,,,,,,
2024-09-02 18:15:00,,,,2024-09-02 18:15:00,,,,,,,,,,,,,,
2024-09-02 18:16:00,,,,2024-09-02 18:16:00,,,,,,,,,,,,,,
2024-09-02 18:17:00,,,,2024-09-02 18:17:00,,,,,,,,,,,,,,
2024-09-02 18:18:00,,,,2024-09-02 18:18:00,,,,,,,,,,,,,,
2024-09-02 18:19:00,,,,2024-09-02 18:19:00,,,,,,,,,,,,,,
2024-09-02 18:20:00,,,,2024-09-02 18:20:00,,,,,,,,,,,,,,
2024-09-02 18:21:00,,,,2024-09-02 18:21:00,,,,,,,,,,,,,,
2024-09-02 18:22:00,,,,2024-09-02 18:22:00,,,,,,,,,,,,,,
2024-09-02 18:23:00,,,,2024-09-02 18:23:00,,,,,,,,,,,,,,
2024-09-02 18:24:00,,,,2024-09-02 18:24:00,,,,,,,,,,,,,,
2024-09-02 18:25:00,,,,2024-09-02 18:25:00,,,,,,,,,,,,,,
2024-09-02 18:26:00,,,,2024-09-02 18:26:00,,,,,,,,,,,,,,
2024-09-02 18:27:00,,,,2024-09-02 18:27:00,,,,,,,,,,,,,,
2024-09-02 18:28:00,,,,2024-09-02 18:28:00,,,,,,,,,,,,,,
2024-09-02 18:29:00,,,,2024-09-02 18:29:00,,,,,,,,,,,,,,
2024-09-02 18:30:00,,,,2024-09-02 18:30:00,,,,,,,,,,,,,,
2024-09-02 18:31:00,,,,2024-09-02 18:31:00,,,,,,,,,,,,,,
2024-09-02 18:32:00,,,,2024-09-02 18:32:00,,,,,,,,,,,,,,
2024-09-02 18:33:00,,,,2024-09-02 18:33:00,,,,,,,,,,,,,,
2024-09-02 18:34:00,,,,2024-09-02 18:34:00,,,,,,,,,,,,,,
2024-09-02 18:35:00,,,,2024-09-02 18:35:00,,,,,,,,,,,,,,
2024-09-02 18:36:00,,,,2024-09-02 18:36:00,,,,,,,,,,,,,,
2024-09-02 18:37:00,,,,2024-09-02 18:37:00,,,,,,,,,,,,,,
2024-09-02 18:38:00,,,,2024-09-02 18:38:00,,,,,,,,,,,,,,
2024-09-02 18:39:00,,,,2024-09-02 18:39:00,,,,,,,,,,,,,,
2024-09-02 18:40:00,,,,2024-09-02 18:40:00,,,,,,,,,,,,,,
2024-09-02 18:41:00,,,,2024-09-02 18:41:00,,,,,,,,,,,,,,
2024-09-02 18:42:00,,,,2024-09-02 18:42:00,,,,,,,,,,,,,,
2024-09-02 18:43:00,,,,2024-09-02 18:43:00,,,,,,,,,,,,,,
2024-09-02 18:44:00,,,,2024-09-02 18:44:00,,,,,,,,,,,,,,
2024-09-02 18:45:00,,,,2024-09-02 18:45:00,,,,,,,,,,,,,,
2024-09-02 18:46:00,,,,2024-09-02 18:46:00,,,,,,,,,,,,,,
2024-09-02 18:47:00,,,,2024-09-02 18:47:00,,,,,,,,,,,,,,
2024-09-02 18:48:00,,,,2024-09-02 18:48:00,,,,,,,,,,,,,,
2024-09-02 18:49:00,,,,2024-09-02 18:49:00,,,,,,,,,,,,,,
2024-09-02 18:50:00,,,,2024-09-02 18:50:00,,,,,,,,,,,,,,
2024-09-02 18:51:00,,,,2024-09-02 18:51:00,,,,,,,,,,,,,,
2024-09-02 18:52:00,,,,2024-09-02 18:52:00,,,,,,,,,,,,,,
2024-09-02 18:53:00,,,,2024-09-02 18:53:00,,,,,,,,,,,,,,
2024-09-02 18:54:00,,,,2024-09-02 18:54:00,,,,,,,,,,,,,,
2024-09-02 18:55:00,ci40722815,0.95,"12 km NNE of Neenach, CA",2024-09-05 20:58:30,reviewed,14.0,ci,40722815,27.0,0.09496,0.2,70.0,ml,earthquake,"M 1.0 - 12 km NNE of Neenach, CA",-118.5363333,34.866,14.07
2024-09-02 18:56:00,,,,2024-09-02 18:56:00,,,,,,,,,,,,,,
2024-09-02 18:57:00,,,,2024-09-02 18:57:00,,,,,,,,,,,,,,
2024-09-02 18:58:00,,,,2024-09-02 18:58:00,,,,,,,,,,,,,,
2024-09-02 18:59:00,,,,2024-09-02 18:59:00,,,,,,,,,,,,,,
