time,id,mag,place,updated,status,sig,net,code,nst,dmin,rms,gap,magType,type,title,longitude,latitude,depth
2024-11-28 14:00:00,,,,2024-11-28 14:00:00,,,,,,,,,,,,,,
2024-11-28 14:01:00,,,,2024-11-28 14:01:00,,,,,,,,,,,,,,
2024-11-28 14:02:00,,,,2024-11-28 14:02:00,,,,,,,,,,,,,,
2024-11-28 14:03:00,,,,2024-11-28 14:03:00,,,,,,,,,,,,,,
2024-11-28 14:04:00,,,,2024-11-28 14:04:00,,,,,,,,,,,,,,
2024-11-28 14:05:00,,,,2024-11-28 14:05:00,,,,,,,,,,,,,,
2024-11-28 14:06:00,,,,2024-11-28 14:06:00,,,,,,,,,,,,,,
2024-11-28 14:07:00,,,,2024-11-28 14:07:00,,,,,,,,,,,,,,
2024-11-28 14:08:00,,,,2024-11-28 14:08:00,,,,,,,,,,,,,,
2024-11-28 14:09:00,,,,2024-11-28 14:09:00,,,,,,,,,,,,,,
2024-11-28 14:10:00,,,,2024-11-28 14:10:00,,,,,,,,,,,,,,
2024-11-28 14:11:00,,,,2024-11-28 14:11:00,,,,,,,,,,,,,,
2024-11-28 14:12:00,,,,2024-11-28 14:12:00,,,,,,,,,,,,,,
2024-11-28 14:13:00,,,,2024-11-28 14:13:00,,,,,,,,,,,,,,
2024-11-28 14:14:00,,,,2024-11-28 14:14:00,,,,,,,,,,,,,,
2024-11-28 14:15:00,,,,2024-11-28 14:15:00,,,,,,,,,,,,,,
2024-11-28 14:16:00,,,,2024-11-28 14:16:00,,,,,,,,,,,,,,
2024-11-28 14:17:00,,,,2024-11-28 14:17:00,,,,,,,,,,,,,,
2024-11-28 14:18:00,,,,2024-11-28 14:18:00,,,,,,,,,,,,,,
2024-11-28 14:19:00,,,,2024-11-28 14:19:00,,,,,,,,,,,,,,
2024-11-28 14:20:00,,,,2024-11-28 14:20:00,,,,,,,,,,,,,,
2024-11-28 14:21:00,,,,2024-11-28 14:21:00,,,,,,,,,,,,,,
2024-11-28 14:22:00,,,,2024-11-28 14:22:00,,,,,,,,,,,,,,
2024-11-28 14:23:00,,,,2024-11-28 14:23:00,,,,,,,,,,,,,,
2024-11-28 14:24:00,,,,2024-11-28 14:24:00,,,,,,,,,,,,,,
2024-11-28 14:25:00,,,,2024-11-28 14:25:00,,,,,,,,,,,,,,
2024-11-28 14:26:00,,,,2024-11-28 14:26:00,,,,,,,,,,,,,,
2024-11-28 14:27:00,,,,2024-11-28 14:27:00,,,,,,,,,,,,,,
2024-11-28 14:28:00,,,,2024-11-28 14:28:00,,,,,,,,,,,,,,
2024-11-28 14:29:00,,,,2024-11-28 14:29:00,,,,,,,,,,,,,,
2024-11-28 14:30:00,,,,2024-11-28 14:30:00,,,,,,,,,,,,,,
2024-11-28 14:31:00,,,,2024-11-28 14:31:00,,,,,,,,,,,,,,
2024-11-28 14:32:00,ci40989432,1.38,"3 km WNW of Loma Linda, CA",2024-11-29 05:51:21,reviewed,29.0,ci,40989432,75.0,0.08286,0.18,25.0,ml,earthquake,"M 1.4 - 3 km WNW of Loma Linda, CA",-117.2861667,34.0598333,15.57
2024-11-28 14:33:00,,,,2024-11-28 14:33:00,,,,,,,,,,,,,,
2024-11-28 14:34:00,,,,2024-11-28 14:34:00,,,,,,,,,,,,,,
2024-11-28 14:35:00,,,,2024-11-28 14:35:00,,,,,,,,,,,,,,
2024-11-28 14:36:00,,,,2024-11-28 14:36:00,,,,,,,,,,,,,,
2024-11-28 14:37:00,,,,2024-11-28 14:37:00,,,,,,,,,,,,,,
2024-11-28 14:38:00,,,,2024-11-28 14:38:00,,,,,,,,,,,,,,
2024-11-28 14:39:00,,,,2024-11-28 14:39:00,,,,,,,,,,,,,,
2024-11-28 14:40:00,,,,2024-11-28 14:40:00,,,,,,,,,,,,,,
2024-11-28 14:41:00,,,,2024-11-28 14:41:00,,,,,,,,,,,,,,
2024-11-28 14:42:00,,,,2024-11-28 14:42:00,,,,,,,,,,,,,,
2024-11-28 14:43:00,,,,2024-11-28 14:43:00,,,,,,,,,,,,,,
2024-11-28 14:44:00,,,,2024-11-28 14:44:00,,,,,,,,,,,,,,
2024-11-28 14:45:00,,,,2024-11-28 14:45:00,,,,,,,,,,,,,,
2024-11-28 14:46:00,,,,2024-11-28 14:46:00,,,,,,,,,,,,,,
2024-11-28 14:47:00,,,,2024-11-28 14:47:00,,,,,,,,,,,,,,
2024-11-28 14:48:00,,,,2024-11-28 14:48:00,,,,,,,,,,,,,,
2024-11-28 14:49:00,,,,2024-11-28 14:49:00,,,,,,,,,,,,,,
2024-11-28 14:50:00,,,,2024-11-28 14:50:00,,,,,,,,,,,,,,
2024-11-28 14:51:00,,,,2024-11-28 14:51:00,,,,,,,,,,,,,,
2024-11-28 14:52:00,,,,2024-11-28 14:52:00,,,,,,,,,,,,,,
2024-11-28 14:53:00,,,,2024-11-28 14:53:00,,,,,,,,,,,,,,
2024-11-28 14:54:00,,,,2024-11-28 14:54:00,,,,,,,,,,,,,,
2024-11-28 14:55:00,,,,2024-11-28 14:55:00,,,,,,,,,,,,,,
2024-11-28 14:56:00,,,,2024-11-28 14:56:00,,,,,,,,,,,,,,
2024-11-28 14:57:00,,,,2024-11-28 14:57:00,,,,,,,,,,,,,,
2024-11-28 14:58:00,,,,2024-11-28 14:58:00,,,,,,,,,,,,,,
2024-11-28 14:59:00,,,,2024-11-28 14:59:00,,,,,,,,,,,,,,
