time,id,mag,place,updated,status,sig,net,code,nst,dmin,rms,gap,magType,type,title,longitude,latitude,depth
2024-09-06 01:00:00,,,,2024-09-06 01:00:00,,,,,,,,,,,,,,
2024-09-06 01:01:00,,,,2024-09-06 01:01:00,,,,,,,,,,,,,,
2024-09-06 01:02:00,,,,2024-09-06 01:02:00,,,,,,,,,,,,,,
2024-09-06 01:03:00,,,,2024-09-06 01:03:00,,,,,,,,,,,,,,
2024-09-06 01:04:00,,,,2024-09-06 01:04:00,,,,,,,,,,,,,,
2024-09-06 01:05:00,,,,2024-09-06 01:05:00,,,,,,,,,,,,,,
2024-09-06 01:06:00,,,,2024-09-06 01:06:00,,,,,,,,,,,,,,
2024-09-06 01:07:00,,,,2024-09-06 01:07:00,,,,,,,,,,,,,,
2024-09-06 01:08:00,,,,2024-09-06 01:08:00,,,,,,,,,,,,,,
2024-09-06 01:09:00,,,,2024-09-06 01:09:00,,,,,,,,,,,,,,
2024-09-06 01:10:00,,,,2024-09-06 01:10:00,,,,,,,,,,,,,,
2024-09-06 01:11:00,,,,2024-09-06 01:11:00,,,,,,,,,,,,,,
2024-09-06 01:12:00,,,,2024-09-06 01:12:00,,,,,,,,,,,,,,
2024-09-06 01:13:00,,,,2024-09-06 01:13:00,,,,,,,,,,,,,,
2024-09-06 01:14:00,,,,2024-09-06 01:14:00,,,,,,,,,,,,,,
2024-09-06 01:15:00,,,,2024-09-06 01:15:00,,,,,,,,,,,,,,
2024-09-06 01:16:00,,,,2024-09-06 01:16:00,,,,,,,,,,,,,,
2024-09-06 01:17:00,,,,2024-09-06 01:17:00,,,,,,,,,,,,,,
2024-09-06 01:18:00,,,,2024-09-06 01:18:00,,,,,,,,,,,,,,
2024-09-06 01:19:00,,,,2024-09-06 01:19:00,,,,,,,,,,,,,,
2024-09-06 01:20:00,,,,2024-09-06 01:20:00,,,,,,,,,,,,,,
2024-09-06 01:21:00,,,,2024-09-06 01:21:00,,,,,,,,,,,,,,
2024-09-06 01:22:00,,,,2024-09-06 01:22:00,,,,,,,,,,,,,,
2024-09-06 01:23:00,,,,2024-09-06 01:23:00,,,,,,,,,,,,,,
2024-09-06 01:24:00,,,,2024-09-06 01:24:00,,,,,,,,,,,,,,
2024-09-06 01:25:00,,,,2024-09-06 01:25:00,,,,,,,,,,,,,,
2024-09-06 01:26:00,,,,2024-09-06 01:26:00,,,,,,,,,,,,,,
2024-09-06 01:27:00,,,,2024-09-06 01:27:00,,,,,,,,,,,,,,
2024-09-06 01:28:00,,,,2024-09-06 01:28:00,,,,,,,,,,,,,,
2024-09-06 01:29:00,,,,2024-09-06 01:29:00,,,,,,,,,,,,,,
2024-09-06 01:30:00,,,,2024-09-06 01:30:00,,,,,,,,,,,,,,
2024-09-06 01:31:00,,,,2024-09-06 01:31:00,,,,,,,,,,,,,,
2024-09-06 01:32:00,,,,2024-09-06 01:32:00,,,,,,,,,,,,,,
2024-09-06 01:33:00,,,,2024-09-06 01:33:00,,,,,,,,,,,,,,
2024-09-06 01:34:00,,,,2024-09-06 01:34:00,,,,,,,,,,,,,,
2024-09-06 01:35:00,,,,2024-09-06 01:35:00,,,,,,,,,,,,,,
2024-09-06 01:36:00,ci40726191,0.73,"5 km NNE of Moreno Valley, CA",2024-09-06 15:49:17,reviewed,8.0,ci,40726191,21.0,0.03993,0.18,79.0,ml,earthquake,"M 0.7 - 5 km NNE of Moreno Valley, CA",-117.212,33.9705,12.5
2024-09-06 01:37:00,,,,2024-09-06 01:37:00,,,,,,,,,,,,,,
2024-09-06 01:38:00,,,,2024-09-06 01:38:00,,,,,,,,,,,,,,
2024-09-06 01:39:00,,,,2024-09-06 01:39:00,,,,,,,,,,,,,,
2024-09-06 01:40:00,,,,2024-09-06 01:40:00,,,,,,,,,,,,,,
2024-09-06 01:41:00,,,,2024-09-06 01:41:00,,,,,,,,,,,,,,
2024-09-06 01:42:00,,,,2024-09-06 01:42:00,,,,,,,,,,,,,,
2024-09-06 01:43:00,,,,2024-09-06 01:43:00,,,,,,,,,,,,,,
2024-09-06 01:44:00,,,,2024-09-06 01:44:00,,,,,,,,,,,,,,
2024-09-06 01:45:00,,,,2024-09-06 01:45:00,,,,,,,,,,,,,,
2024-09-06 01:46:00,,,,2024-09-06 01:46:00,,,,,,,,,,,,,,
2024-09-06 01:47:00,,,,2024-09-06 01:47:00,,,,,,,,,,,,,,
2024-09-06 01:48:00,,,,2024-09-06 01:48:00,,,,,,,,,,,,,,
2024-09-06 01:49:00,,,,2024-09-06 01:49:00,,,,,,,,,,,,,,
2024-09-06 01:50:00,,,,2024-09-06 01:50:00,,,,,,,,,,,,,,
2024-09-06 01:51:00,,,,2024-09-06 01:51:00,,,,,,,,,,,,,,
2024-09-06 01:52:00,,,,2024-09-06 01:52:00,,,,,,,,,,,,,,
2024-09-06 01:53:00,,,,2024-09-06 01:53:00,,,,,,,,,,,,,,
2024-09-06 01:54:00,,,,2024-09-06 01:54:00,,,,,,,,,,,,,,
2024-09-06 01:55:00,,,,2024-09-06 01:55:00,,,,,,,,,,,,,,
2024-09-06 01:56:00,,,,2024-09-06 01:56:00,,,,,,,,,,,,,,
2024-09-06 01:57:00,,,,2024-09-06 01:57:00,,,,,,,,,,,,,,
2024-09-06 01:58:00,,,,2024-09-06 01:58:00,,,,,,,,,,,,,,
2024-09-06 01:59:00,,,,2024-09-06 01:59:00,,,,,,,,,,,,,,
