time,id,mag,place,updated,status,sig,net,code,nst,dmin,rms,gap,magType,type,title,longitude,latitude,depth
2024-09-03 08:00:00,,,,2024-09-03 08:00:00,,,,,,,,,,,,,,
2024-09-03 08:01:00,,,,2024-09-03 08:01:00,,,,,,,,,,,,,,
2024-09-03 08:02:00,,,,2024-09-03 08:02:00,,,,,,,,,,,,,,
2024-09-03 08:03:00,,,,2024-09-03 08:03:00,,,,,,,,,,,,,,
2024-09-03 08:04:00,,,,2024-09-03 08:04:00,,,,,,,,,,,,,,
2024-09-03 08:05:00,,,,2024-09-03 08:05:00,,,,,,,,,,,,,,
2024-09-03 08:06:00,,,,2024-09-03 08:06:00,,,,,,,,,,,,,,
2024-09-03 08:07:00,ci40723255,1.16,"5 km SE of Ontario, CA",2024-09-03 12:58:36,reviewed,21.0,ci,40723255,61.0,0.01799,0.15,30.0,ml,earthquake,"M 1.2 - 5 km SE of Ontario, CA",-117.5901667,34.0221667,5.48
2024-09-03 08:08:00,,,,2024-09-03 08:08:00,,,,,,,,,,,,,,
2024-09-03 08:09:00,,,,2024-09-03 08:09:00,,,,,,,,,,,,,,
2024-09-03 08:10:00,,,,2024-09-03 08:10:00,,,,,,,,,,,,,,
2024-09-03 08:11:00,,,,2024-09-03 08:11:00,,,,,,,,,,,,,,
2024-09-03 08:12:00,,,,2024-09-03 08:12:00,,,,,,,,,,,,,,
2024-09-03 08:13:00,,,,2024-09-03 08:13:00,,,,,,,,,,,,,,
2024-09-03 08:14:00,,,,2024-09-03 08:14:00,,,,,,,,,,,,,,
2024-09-03 08:15:00,,,,2024-09-03 08:15:00,,,,,,,,,,,,,,
2024-09-03 08:16:00,,,,2024-09-03 08:16:00,,,,,,,,,,,,,,
2024-09-03 08:17:00,,,,2024-09-03 08:17:00,,,,,,,,,,,,,,
2024-09-03 08:18:00,,,,2024-09-03 08:18:00,,,,,,,,,,,,,,
2024-09-03 08:19:00,,,,2024-09-03 08:19:00,,,,,,,,,,,,,,
2024-09-03 08:20:00,,,,2024-09-03 08:20:00,,,,,,,,,,,,,,
2024-09-03 08:21:00,,,,2024-09-03 08:21:00,,,,,,,,,,,,,,
2024-09-03 08:22:00,,,,2024-09-03 08:22:00,,,,,,,,,,,,,,
2024-09-03 08:23:00,,,,2024-09-03 08:23:00,,,,,,,,,,,,,,
2024-09-03 08:24:00,,,,2024-09-03 08:24:00,,,,,,,,,,,,,,
2024-09-03 08:25:00,,,,2024-09-03 08:25:00,,,,,,,,,,,,,,
2024-09-03 08:26:00,,,,2024-09-03 08:26:00,,,,,,,,,,,,,,
2024-09-03 08:27:00,,,,2024-09-03 08:27:00,,,,,,,,,,,,,,
2024-09-03 08:28:00,,,,2024-09-03 08:28:00,,,,,,,,,,,,,,
2024-09-03 08:29:00,,,,2024-09-03 08:29:00,,,,,,,,,,,,,,
2024-09-03 08:30:00,,,,2024-09-03 08:30:00,,,,,,,,,,,,,,
2024-09-03 08:31:00,,,,2024-09-03 08:31:00,,,,,,,,,,,,,,
2024-09-03 08:32:00,,,,2024-09-03 08:32:00,,,,,,,,,,,,,,
2024-09-03 08:33:00,,,,2024-09-03 08:33:00,,,,,,,,,,,,,,
2024-09-03 08:34:00,,,,2024-09-03 08:34:00,,,,,,,,,,,,,,
2024-09-03 08:35:00,,,,2024-09-03 08:35:00,,,,,,,,,,,,,,
2024-09-03 08:36:00,,,,2024-09-03 08:36:00,,,,,,,,,,,,,,
2024-09-03 08:37:00,,,,2024-09-03 08:37:00,,,,,,,,,,,,,,
2024-09-03 08:38:00,,,,2024-09-03 08:38:00,,,,,,,,,,,,,,
2024-09-03 08:39:00,,,,2024-09-03 08:39:00,,,,,,,,,,,,,,
2024-09-03 08:40:00,,,,2024-09-03 08:40:00,,,,,,,,,,,,,,
2024-09-03 08:41:00,,,,2024-09-03 08:41:00,,,,,,,,,,,,,,
2024-09-03 08:42:00,,,,2024-09-03 08:42:00,,,,,,,,,,,,,,
2024-09-03 08:43:00,,,,2024-09-03 08:43:00,,,,,,,,,,,,,,
2024-09-03 08:44:00,,,,2024-09-03 08:44:00,,,,,,,,,,,,,,
2024-09-03 08:45:00,,,,2024-09-03 08:45:00,,,,,,,,,,,,,,
2024-09-03 08:46:00,,,,2024-09-03 08:46:00,,,,,,,,,,,,,,
2024-09-03 08:47:00,,,,2024-09-03 08:47:00,,,,,,,,,,,,,,
2024-09-03 08:48:00,,,,2024-09-03 08:48:00,,,,,,,,,,,,,,
2024-09-03 08:49:00,,,,2024-09-03 08:49:00,,,,,,,,,,,,,,
2024-09-03 08:50:00,,,,2024-09-03 08:50:00,,,,,,,,,,,,,,
2024-09-03 08:51:00,,,,2024-09-03 08:51:00,,,,,,,,,,,,,,
2024-09-03 08:52:00,,,,2024-09-03 08:52:00,,,,,,,,,,,,,,
2024-09-03 08:53:00,,,,2024-09-03 08:53:00,,,,,,,,,,,,,,
2024-09-03 08:54:00,,,,2024-09-03 08:54:00,,,,,,,,,,,,,,
2024-09-03 08:55:00,,,,2024-09-03 08:55:00,,,,,,,,,,,,,,
2024-09-03 08:56:00,,,,2024-09-03 08:56:00,,,,,,,,,,,,,,
2024-09-03 08:57:00,,,,2024-09-03 08:57:00,,,,,,,,,,,,,,
2024-09-03 08:58:00,,,,2024-09-03 08:58:00,,,,,,,,,,,,,,
2024-09-03 08:59:00,,,,2024-09-03 08:59:00,,,,,,,,,,,,,,
